F000  000.xreflector.org
XRF001  75.76.90.90
XRF002  91.201.57.233
XRF003  xrf003.iw0red.it
XRF004  96.36.58.9
XRF005  216.16.240.236
XRF006  80.62.20.151
XRF007  84.232.6.94
XRF008  95.110.231.219
XRF009  141.22.15.29
XRF010  87.106.48.7
XRF011  87.106.3.249
XRF012  xrf012.papasys.com
XRF013  xrf013.vkradio.com
XRF014  xrf014.iz0rin.it
XRF015  xrf015.theapplecore.me
XRF017  87.253.159.114
XRF018  199.167.129.166
XRF019  66.30.81.236
XRF020  67.210.212.144
XRF021  74.204.50.67
XRF022  xrf022.tms-it.net
XRF023  141.75.245.225
XRF024  xrf024.dstar.at
XRF025  63.133.189.2
XRF026  139.13.100.34
XRF027  194.116.29.78
XRF028  193.190.240.228
XRF030  xrf030.oe3xht.at
XRF031  83.241.141.245
XRF033  46.226.178.81
XRF036  xrf036.ddns.net
XRF037  185.58.193.163
XRF038  66.6.171.228
XRF040  xrf040.dyndns.org
XRF041  167.88.37.80
XRF042  xrf042.luthienstar.fr
XRF043  xrf043.aotnet.it
XRF044  82.1.185.173
XRF045  045.xreflector.org
XRF050  050.xreflector.org
XRF055  95.110.229.195
XRF063  162.248.141.148
XRF067  xrf067.f5kav.org
XRF069  069.xreflector.es
XRF070  xrf070.iptime.org
XRF073  147.102.7.34
XRF077  xrf077.duckdns.org
XRF078  217.112.102.132
XRF084  xrf084.fabbroni.eu
XRF088  xrf088.pa4tw.nl
XRF090  46.37.185.184
XRF099  76.71.89.114
XRF100  88.46.211.5
XRF111  5.196.3.184
XRF112  92.222.47.175
XRF117  xrf117.dyndns.org
XRF118  xrf118.dyndns.org
XRF119  149.154.158.170
XRF123  213.126.90.100
XRF133  xrf133.gb7de.co.uk
XRF168  xrf168.duckdns.org
XRF185  xrf185.dyndns.org
XRF200  xrf200.theapplecore.me
XRF210  210.xreflector.org
XRF228  xrf228.duckdns.org
XRF232  xrf232.tms-it.net
XRF250  xrf250.dstar.su
XRF255  xrf255.reflector.up4dar.de
XRF260  93.182.23.51
XRF262  xrf262.reflector.up4dar.de
XRF270  xrf270.reflector.up4dar.de
XRF295  104.167.96.2
XRF295  xrf295.dyndns.org
XRF307  104.167.106.95
XRF310  server1.xrefl.net
XRF333  xrf333.f1smf.com
XRF345  104.167.114.4
XRF350  46.105.27.191
XRF353  94.173.206.53
XRF390  xrf390.aotnet.it
XRF400  xrf400.no-ip.org
XRF420  kc9qen.com
XRF423  4ix.hacktic.de
XRF433  xrf433.de
XRF444  70.125.157.44
XRF450  450.xreflector.org
XRF456  149.202.45.162
XRF500  xrf500.org
XRF550  550.xreflector.es
XRF555  54.191.67.121
XRF559  98.239.113.175
XRF580  67.20.31.79
XRF600  xrf600.gb7de.co.uk
XRF603  74.104.179.159
XRF666  vpngrf.webandcloud.net #VPN
XRF669  xrf669.no-ip.org
XRF707  xrf707.openquad.net
XRF714  xrf714.ea3hkb.com
XRF720  204.45.107.21
XRF727  108.33.72.83
XRF740  imagewell.duckdns.org
XRF747  xrf747.de
XRF748  104.167.109.27
XRF757  xrf757.openquad.net
XRF773  xrf773.iz0rin.it
XRF777  112.218.40.91
XRF780  96.53.97.22
XRF850  xrf850.xrfmaster.net
XRF851  xrf851.rsdt.de
XRF858  198.57.255.30
XRF870  103.18.207.114
XRF888  888.xreflector.es
XRF901  xrf901.dyndns.org
XRF902  xrf902.dyndns.org
XRF905  199.212.121.20
XRF906  xrf906.radioclubveleta.es
XRF909  216.86.147.198
XRF911  217.196.138.39
XRF911  xrf911.ns0.it
XRF929  xrf929.ddns.net
XRF978  74.104.179.159
XRF987  xrf987.metro-uhf.org
XRF988  988.xreflector.es
XRF989  xrf989.bbhill.net
XRFWDX  xrfwdx.ham-radio-op.net
REF001  192.3.202.54
REF002  129.93.2.132
REF003  203.194.18.195
REF004  74.204.50.19
REF005  192.3.202.53
REF006  78.158.56.61
REF007  208.111.3.180
REF008  58.1.235.43
REF009  204.89.198.18
REF010  12.178.74.6
REF011  213.203.177.246
REF012  209.112.244.26
REF014  64.250.229.185
REF015  109.69.104.196
REF016  204.244.106.103
REF017  80.69.86.233
REF018  187.50.254.20
REF019  209.242.228.27
REF020  50.199.88.20
REF023  103.1.213.18
REF024  69.41.0.15
REF025  173.10.178.226
REF026  206.12.104.8
REF027  194.116.29.72
REF028  193.190.240.229
REF029  129.123.7.23
REF030  64.16.212.14
REF031  212.112.188.111
REF032  95.160.171.254
REF033  208.67.255.202
REF034  74.81.71.218
REF035  146.129.247.243
REF036  195.194.238.109
REF037  208.111.3.181
REF038  66.6.171.227
REF039  208.93.191.20
REF041  129.105.15.195
REF042  151.249.104.38
REF043  88.80.19.217
REF045  195.251.201.194
REF046  208.111.3.182
REF047  157.7.142.13
REF048  208.88.66.244
REF050  75.147.26.195
REF051  50.57.153.17
REF052  12.5.239.46
REF053  69.67.29.232
REF054  216.249.104.190
REF055  207.251.62.205
REF056  12.166.228.165
REF057  77.70.61.138
REF058  131.204.255.253
REF059  104.131.247.122
REF060  50.194.6.1
REF061  64.150.149.59
REF062  70.88.145.165
REF063  205.201.0.4
REF064  61.195.99.81
REF065  24.159.132.93
REF066  173.255.196.45
REF067  44.34.128.19
REF068  92.222.145.197
REF069  70.91.220.113
REF070  65.50.211.156
REF071  61.195.97.218
REF072  168.103.98.244
REF073  68.67.124.145
REF074  68.67.124.146
